game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,hand,known_cards,card_to_evaluate,card_to_play,win_probability
43,5,1,0,3,1,1,True,True,diamonds,['J of clubs'],"['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds', 'J of hearts', '10 of hearts', '10 of spades', 'K of spades', '9 of spades', 'J of spades', 'Q of spades', 'A of spades']",J of clubs,1,0.0
43,1,3,9,0,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs', '9 of spades']",['A of hearts'],Q of hearts,0,1.0
43,1,3,9,0,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs', '9 of spades']",['A of hearts'],J of spades,0,1.0
43,1,3,9,0,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs', '9 of spades']",['A of hearts'],K of diamonds,0,1.0
43,1,3,9,0,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs', '9 of spades']",['A of hearts'],Q of clubs,0,1.0
43,1,3,9,0,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs', '9 of spades']",['A of hearts'],9 of spades,1,1.0
43,2,0,0,1,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades']",Q of hearts,0,0.0
43,2,0,0,1,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades']",J of spades,0,1.0
43,2,0,0,1,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades']",K of diamonds,0,0.0
43,2,0,0,1,0,2,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds', 'Q of clubs']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades']",Q of clubs,1,1.0
43,3,0,0,2,0,0,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs']",Q of hearts,1,0.0
43,3,0,0,2,0,0,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs']",J of spades,0,1.0
43,3,0,0,2,0,0,False,False,spades,"['Q of hearts', 'J of spades', 'K of diamonds']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs']",K of diamonds,0,0.0
43,4,2,0,3,0,2,False,False,spades,"['J of spades', 'K of diamonds']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs', 'Q of hearts', '10 of hearts', 'K of hearts', 'J of hearts']",J of spades,0,0.0
43,4,2,0,3,0,2,False,False,spades,"['J of spades', 'K of diamonds']","['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs', 'Q of hearts', '10 of hearts', 'K of hearts', 'J of hearts']",K of diamonds,1,0.0
43,5,2,0,3,1,3,False,False,spades,['J of spades'],"['A of hearts', 'A of spades', '10 of spades', '9 of spades', 'K of spades', '9 of clubs', '9 of hearts', 'Q of clubs', '10 of clubs', 'Q of hearts', '10 of hearts', 'K of hearts', 'J of hearts', 'J of diamonds', 'Q of diamonds', 'K of diamonds', 'Q of spades']",J of spades,1,0.0
43,1,5,9,0,0,1,False,True,diamonds,"['Q of diamonds', 'A of spades', '9 of clubs', 'K of hearts', 'J of clubs']",['J of diamonds'],Q of diamonds,0,1.0
43,1,5,9,0,0,1,False,True,diamonds,"['Q of diamonds', 'A of spades', '9 of clubs', 'K of hearts', 'J of clubs']",['J of diamonds'],A of spades,1,1.0
43,1,5,9,0,0,1,False,True,diamonds,"['Q of diamonds', 'A of spades', '9 of clubs', 'K of hearts', 'J of clubs']",['J of diamonds'],9 of clubs,0,1.0
43,1,5,9,0,0,1,False,True,diamonds,"['Q of diamonds', 'A of spades', '9 of clubs', 'K of hearts', 'J of clubs']",['J of diamonds'],K of hearts,0,1.0
43,1,5,9,0,0,1,False,True,diamonds,"['Q of diamonds', 'A of spades', '9 of clubs', 'K of hearts', 'J of clubs']",['J of diamonds'],J of clubs,0,1.0
43,2,0,0,1,0,0,False,True,diamonds,"['Q of diamonds', '9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs']",Q of diamonds,1,1.0
43,2,0,0,1,0,0,False,True,diamonds,"['Q of diamonds', '9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs']",9 of clubs,0,1.0
43,2,0,0,1,0,0,False,True,diamonds,"['Q of diamonds', '9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs']",K of hearts,0,1.0
43,2,0,0,1,0,0,False,True,diamonds,"['Q of diamonds', '9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs']",J of clubs,0,1.0
43,3,0,0,1,1,1,False,True,diamonds,"['9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs', 'Q of diamonds', '9 of diamonds', '10 of diamonds', 'J of hearts']",9 of clubs,1,1.0
43,3,0,0,1,1,1,False,True,diamonds,"['9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs', 'Q of diamonds', '9 of diamonds', '10 of diamonds', 'J of hearts']",K of hearts,0,1.0
43,3,0,0,1,1,1,False,True,diamonds,"['9 of clubs', 'K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs', 'Q of diamonds', '9 of diamonds', '10 of diamonds', 'J of hearts']",J of clubs,0,1.0
43,4,0,0,2,1,2,False,True,diamonds,"['K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs', 'Q of diamonds', '9 of diamonds', '10 of diamonds', 'J of hearts', 'Q of spades', '9 of clubs', '9 of hearts', 'K of diamonds']",K of hearts,0,0.0
43,4,0,0,2,1,2,False,True,diamonds,"['K of hearts', 'J of clubs']","['J of diamonds', '9 of spades', 'A of spades', 'K of spades', 'A of clubs', 'Q of diamonds', '9 of diamonds', '10 of diamonds', 'J of hearts', 'Q of spades', '9 of clubs', '9 of hearts', 'K of diamonds']",J of clubs,1,0.0
